web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551346293-13642","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Nancy & Greg","Sound is not as good as Echo 2nd generation","August 22, 2018","Sometimes Alexa ignores comands or hears something completely different than what we are trying to say. Yes we did the voice training.  It is fun though. I watch Amazone prime movies in bed.  When I get a compatible doorbell and security system I can watch my front door from my bedroom.  Echo dot 2nd Generation on porch near laundry, Echo 2nd Generation in livinh room and show in bedroom.  Entire house is covered.  I have ASK MY BUDDY Skill in case someone gets hurt home alone.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_153?ie=UTF8&pageNumber=153&reviewerType=all_reviews"
"1551346796-15407","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Gordon","Needs alot of work to be more useful with the screen","July 22, 2018","Basically a glorified Echo. Needs alot of work to be more useful with the screen. Also amazon needs to do better at working with the skill creators to insure they work properly on their devices. For example I had alot of issues with the Ring skill and Arlo skill. I suggest getting the regular echo unless you want webcam abilities.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_373?ie=UTF8&pageNumber=373&reviewerType=all_reviews"
"1551346412-14085","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","KK","Pretty cool as it is, but could be much better with more apps/skills","January 18, 2018","I got my wife several Echo Dots and an Echo Show for Christmas this year.  I like the Echo Show, however, I think much of its potential remains untapped.  I understand that it's still relatively new, and that much of its potential may lie with third parties building skills for it, but Amazon should strongly encourage companies to build skills specifically for the Show.  For example, Netflix does not currently work with the show.  Neither does Plex.  having these two apps on the Show would instantly mean a 5-star rating from me.  It would also be great if I had some way of reading my email from the show.

I also wish that recipes were easier (since our Show is in the kitchen).  I uploaded all of our personal recipes to allrecipes.com since there is no simple way to have the Show access those locally, but even then, the displayed recipe disappears after a few seconds, and you have to tell the  Show to find it again.  It should stay on the screen until you're done.

I really like the music apps, and the drop-in, telephone, and video-calling functions are wonderful.  With just a few more apps/skills focusing specifically on the video capabilities of the Show, this could be a really great device.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_208?ie=UTF8&pageNumber=208&reviewerType=all_reviews"
"1551346947-15896","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Bibi Garcia","Lots to like..","September 8, 2018","There are lots to like and I do mean lots.
But there's lots more to figure out too. Still learning my way around the commands. Favorite is music, news, video and call options.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_435?ie=UTF8&pageNumber=435&reviewerType=all_reviews"
"1551346852-15581","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Msladybug13","We got a lemon","November 25, 2018","Defective.  Purchased for my daughter and son in law as a first anniversary gift.  It’s only 4 months old and they are now having to send it back in for the second time to see if it can be repaired- AGAIN!  Come on Amazon- send them a brand new one!!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_395?ie=UTF8&pageNumber=395&reviewerType=all_reviews"
"1551345981-12552","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Blueberry Hill","Brightness control suggestion","May 23, 2018","Echo show is very cool. Love it. Just one suggestions.  I initially set up and used my Echo show at night. Great. But my house has a lot of glass and light. In the morning, I couldn't see anything on the display unless it was talking and highlighting letters. Even then, they were very dim.  So I asked it to turn up its brightness. It said it didn't know about that, I should check the app. I did. Didn't find anything about it.  I emailed for help and got the answer -- the brightness and other controls are at the top of the screen IF you swipe.  Well, that was great, but it was so dim that I couldn't see the top-of-screen controls, not even in a dim corner of my house, so I had to wait until night time.  Then, when I could swipe and see the controls, I saw that it had arrived set all the way to ""dim.""  Amazon, why not set it at full ""bright,"" or even half-way, so that in daylight, a person can see to adjust it?  Other than that, great.  PS This will be my last-ever review for Amazon. I posted a one-star review on a terrible product from a terribly seller. Amazon took it down. OK, they have that right.  But they also removed the review link from my purchase record, so that I can't post another that they might accept.  I personally consider that to be censorship.  My future merchant choices will be based on that opinion.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1551346949-15904","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","JUST ME","Hummmmmm","November 1, 2018","Highly disappointed, it’s a roll of the dice that this device understands what you say, do what you say or says ok indicating it has done what what you said, but it actually did not. Sometimes I’m  literally standing right next too it.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_436?ie=UTF8&pageNumber=436&reviewerType=all_reviews"
"1551346585-14705","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","VEGGIEIB from Illinois","Loving It!","June 16, 2018","I'm Loving the Amazon Show as I can view my Ring Pro Live Feed/Video! Even though it was Refurbished or used - it looked brand New! No cosmetic imperfections at all.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_286?ie=UTF8&pageNumber=286&reviewerType=all_reviews"
"1551346824-15489","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Kit10","Lost substantial value since Youtube was pulled","January 4, 2018","I agree with a number of users who find little value in an Echo Show since Youtube was pulled. I really like Amazon, and have a whole house wired with Echo products (about 7 various Echos). And I was interested in the new Echos that are smaller than shows, and cuter, but now, without youtube, it's just about useless and over-priced.

If Amazon were to add their own Youtube type service (since they stream video, why not?), or start selling Google products and fix their relations with Google as to get back this service, I would easily give the Echo Show 5 stars.

I totally miss ""Alexa, show me videos on eyeshadow tricks"" and such. Ugh!","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_384?ie=UTF8&pageNumber=384&reviewerType=all_reviews"
"1551346464-14278","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","K S","Love the music!","January 25, 2019","This was a gift to me, not something I would have bought myself. I know I'll never make complete use of it, but I do love being able to tell Alexa to play certain kinds of music while I read, and to tell me some current news, ask about the weather, etc. Just hope she's not listening to me and reporting everything!!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_232?ie=UTF8&pageNumber=232&reviewerType=all_reviews"
"1551346988-16050","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","D. Evans","Incredibly useful and a great buy","January 26, 2018","I received my Echo Show as a Christmas gift from my wife. If only Alexa could have captured the look on my face. This thing is amazing. The setup is a breeze and within minutes I was thinking of things to aske Alexa. To date I have also hooked up my living room light to switch on and off with voice controls (seperate plug required). Oh the possibilities!

Thank you Alexa for making everything easier: shopping lists, reminders, timers. She does it all.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_454?ie=UTF8&pageNumber=454&reviewerType=all_reviews"
"1551346880-15681","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","John Miller","I love this thing","April 30, 2018","I love this thing!  We have a few echos in the house and this is a welcome edition. It’s great to be able to view our outside cameras and the weather in the screen. It’s also cool that the words populate the screen when playing music.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_408?ie=UTF8&pageNumber=408&reviewerType=all_reviews"
"1551346179-13245","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Comp_Vet","Wish I could afford a dozen of them","July 12, 2017","I can't wait to start using it even more when I have some personal friends who have the Shows as well.  I have a business associate I've used to verify how everything works and now I've decided to act.  I live in Florida and my best friend is in Tennessee.  He doesn't even know it yet, but I'm buying him a Show this weekend as a gift.  He's always complaining he can't get me because my phone isn't charged. ( and it's usually not. )  Problem over!  Don't have to worry about dead battery.  Now, even though he lives in Tennessee, he can just  ""drop in"" on me, even visually, here in my Florida home.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_103?ie=UTF8&pageNumber=103&reviewerType=all_reviews"
"1551347015-16148","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","JaLisa Johnson","JETSET FREAKING AWESOME- Not made for technically challenged 😩","August 22, 2017","Everything and more- I'm a tecccchhhyyyy gadget junkie. I brought 2 to get the deal. I'm ordering 2 more. The drop in feature is FREAKING AMAZING. Anyone who has less than 4 stars needs to stick to phones. I have an echo dot in my bathrooms, a Echo in my kitchen and now echo show in 2 bedrooms.

Talk about watching your kids all day or house while at work.

I can't even talk about the apps for music, YouTube channels I couldn't watch before.

THIS IS IT!

Can't wait for next 3 releases. Everything great starts somewhere and I been waiting for my JETSON box!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_466?ie=UTF8&pageNumber=466&reviewerType=all_reviews"
"1551347034-16201","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Dana E. Baze","If you get one that doesn’t work don’t hold your breath for a replacement","November 12, 2018","It worked for a few months. Then it was having problems, speakers would crack and pop. I’ve now been dealing with Amazon for 4 weeks and it hasn’t been replaced. I sent it in for repair and it was sent back broken again. I’ve spent over 45 minutes on the phone each of the 3 times I have called. Not thrilled to say the least","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_473?ie=UTF8&pageNumber=473&reviewerType=all_reviews"
"1551346933-15857","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","English","Helpful and entertaining!","August 10, 2018","I like to use the Echo Show when I am in the kitchen, and have cooking questions.  I also use it to play my fav music when I am in the kitchen.  The kids ask Alexa millions of questions! I am still discovering much more things that she can do!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_430?ie=UTF8&pageNumber=430&reviewerType=all_reviews"
"1551346016-12676","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Suz","Great New Device!","November 24, 2017","This speaker is terrific. As soon as it arrived I set it up on my kitchen counter. I want to use it for online recipes. I already have an echo.  I signed up for unlimited music and played Nat King Cole's The Christmas Song.  It was buzzing so I moved it to another outlet. Well, I finally realized that they have plastic over the speaker. Once it was removed the sound was amazing!  My husband was very impressed by the sound. I can't wait to make some music playlists. My grandkids love selecting songs like the SpongeBob Theme Song or popular tunes and dancing.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews"
"1551347043-16237","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","SANTEE MARK MUNOZ","Five Stars","November 16, 2017","Love it...! My kids like playing with the games and learn math from the games","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_477?ie=UTF8&pageNumber=477&reviewerType=all_reviews"
"1551345994-12602","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","wlshirer","Limited usefulness to consumers.  Lots of data for Amazon.","June 13, 2018","Really fairly useless.  Gives limited information that you can get just as well from your phone.  Do you really need another electronic device that provides (and captures your) data?

I got one, set it up (easy to get going, clumsy to make useful), and then didn't use it.  No one in my house used it including my teenage daughters.  In fact, they often unplug the device because it's just too Orwellian for them.

Forgot to return it during the return period.  Will be going up on eBay.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1551346553-14595","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","William C.","In the end it’s just another tech toy","August 5, 2018","Very easy to setup and the picture quality is perfect. My son loves the fact that he can stream his favorite movies/shows from this device. I like how it can play my favorite news sources. Having said all of this, it’s really just a toy. It does show me my work calendar events, but so does my phone and computer. Therefore, it’s not really necessary, but it’s certainly entertaining to have one.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_272?ie=UTF8&pageNumber=272&reviewerType=all_reviews"
"1551346752-15258","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jess","Too limited","September 3, 2018","If you stick to the few things alexa ""can"" say /do, I guess its  pretty cool.... yet There are so many things that need improvement with this device. Starting with the search engine.... unbelievably poor. Does not play any YouTube or music videos. Music selection limited. Link to my Amazon account is the worst, asking to show options of some product is a complete hassle. Really needs a lot of work.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_355?ie=UTF8&pageNumber=355&reviewerType=all_reviews"
"1551346510-14441","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Yvonneras","Bad product with lines on screen","November 12, 2018","I have been so disappointed in this overall product. I have had it 2 months when the screen started having lines in it which i have learned that this is a common problem. I called Amazon echo and they want me to send it back so they can fix it. That's fine except they emailed me a link for a label that i have to print then find a box to send it back and during this time i will be without my echo show. Not happy at all when they know this a problem that has been happening with this product.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_253?ie=UTF8&pageNumber=253&reviewerType=all_reviews"
"1551346069-12867","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jeanine","Replaced alarm clock with this","December 14, 2018","Excellent Gadget.  Yes, you can replace your alarm clock with this unit - but it does not have battery back up - so if you lose power - she goes away for a while until the power comes back.  So if you need that comfort of alarm having battery back up - not for you.  I LOVE IT!!!  Sits on my nightstand, I can call my kids on it on their phones or other Echo devices, add things to my shopping list, see my calendar when I am getting ready in the morning so I know what to wear, see people at my Ring front door, get lyrics to a song, so many things I use my Amazon Show for.  Wish I could give her a different name, have a few Alexa devices in my home, so the names are all taken!  She has a great speaker, and if you want to watch a video really quick, perfect instead of turning on TV.  I like the fact she is linked to all my skills, and my Amazon account.  Makes it very convenient.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&reviewerType=all_reviews"
