web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551343234-5061","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","DCW","Expensive marketing crap","December 24, 2018","Just another conduit into your home for Amazon’s lazy Marketing team:/

You want to have control over a product you purchased and turn off “Things to try”?  Well, according to Amazon, too bad.  You’ll get that on rotation (without any pre-purchase disclaimer) whether you want it (who would?!?) or not (I do not!!)

The bad:
Already mentioned above, you get what Amazin wants you to have the way they want you to get it, period.
Alexa software = crap.  Worst UI since Phillips! Not user friendly in the least.
Would you like to learn more about “Things to try”, good because you will be seeing a lot of it on this device, don’t like it? Sucks to be you (yeah, I’m hammering home this point)
Speaker, better than the dot but could have been a lot better for the price range

The good:
Alexa voice controls responsive
Plays music
Good alarm features
Easy to see in dark or fully lit room

Bottom line: avoid this product at all costs.

If you get one as a gift this year, I’d strongly recommend sending it back.
Don’t purchase this until Amazon learns that we’re buying devices for OUR use, not to make their sales jobs easier.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1551343401-5606","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jmcm","Screen is small but easy to view","February 11, 2018","This little Echo Spot looks nice on my white counter. I can see the weather at a glance,play my favorite tunes,although sound quality could be a bit better. Love the clock faces. When I look at the Spot it will show suggestions of what you can ask or get. It is an Alexa in a clock. I am more apt to use it as it sits out on my counter top. I did get the matching stand,but feel they could have tossed that in with the deal. I also purchased a screen protector. Glad I purchased this souped up clock,I really do enjoy it.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&reviewerType=all_reviews"
"1551343943-7520","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jeannie Scott","EXCELLENT SIZE FOR SMALL SPACES","June 10, 2018","EXCELLENT SIZE FOR NIGHT STAND I USE IT FOR AN ALARM CLOCK AND TIMER AND REMINDER IT'S GREAT I'M A ALEXA FAN ADDICTED LOL","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_320?ie=UTF8&pageNumber=320&reviewerType=all_reviews"
"1551343765-6885","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Midieval","Can't disable things to try","August 15, 2018","Till they disable things to ""try this thing "" is horrible. I know all the things it tells me already . Until they disable this echo spot gets 1 star . Also needs a digital face with bigger numbers. Considering returning.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_240?ie=UTF8&pageNumber=240&reviewerType=all_reviews"
"1551343767-6892","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Blacksmithking","The Spot is the best alarm clock I've ever owned","February 4, 2018","The Spot is the best alarm clock I've ever owned. It sets its clock by itself. I can use voice commands to cancel or schedule alarms. I wish the screen were bigger, though, and I'd like a physical switch for the camera.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_241?ie=UTF8&pageNumber=241&reviewerType=all_reviews"
"1551344327-8895","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Stewart","I read and watch alot of reviews before I purchased ...","April 25, 2018","I read and watch alot of reviews before I purchased the Echo Spot. I lived up up to they all said. I use it as clock for my bedroom. And to check weather, traffic and news briefing in the morning. At night to control lights throughout my house.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_492?ie=UTF8&pageNumber=492&reviewerType=all_reviews"
"1551343926-7457","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Vicki M.","Information at a moment's notice....lightning speed with answers to your requests.","October 19, 2018","I love having the Echo Spot beside my bed. I use it for my alarm, news, weather, music and I can also check in with other friends and family. It is so convenient and very useful. I ask it for many types of questions and events. I cannot say enough good things about it. 💖","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_312?ie=UTF8&pageNumber=312&reviewerType=all_reviews"
"1551343285-5224","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","AJ","Great (if pricey) addition to the Echo family!","January 7, 2018","I'm so happy with my Echo Spot!  I needed a replacement for my dying clock radio, and it frees up space on my bedside table, so I count that as a win. It also replaces a 1st generation Echo (which I've moved elsewhere), which I used for music, weather, and alarms/timers.

The setup was quick and easy, though it took me a while to figure out how to turn off the annoying time/weather/try-this scrolling. There isn't a great selection of clock-face choices, but I'm happy with the one I picked....and really.....I just need to know what time it is (I use the digital display). As other reviewers have noted, the sound quality isn't as good as the old Echo, but based on its size, I wasn't expecting that it would be. I suppose I could always connect it to a better speaker via Bluetooth, but I haven't tried that yet. After having it for a few days, I did decide to buy the stand (sold separately.....Grrrrr), since it makes for a better viewing angle, and slightly better sound quality (since it's not sitting directly on the table surface). I've opted to turn off a few features, e.g., the camera, which I probably will never use.

There are a couple of items I'd change: 1) it would be nice to be able to have the time display in a larger font, so I could see it without needing my glasses, 2) after starting to play your music selection, it stays in 'music,' and you have to either tell it to go back to 'home,' or touch the display and select the 'home' icon. Perhaps these capabilities will arrive in a future software update...or perhaps I haven't dug deeply enough into the settings menu yet....

However, despite its cost, I'm extremely happy with my Spot, and would recommend it to others.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&reviewerType=all_reviews"
"1551343847-7171","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Michelle Andersen","A great alarm clock!","February 23, 2019","I am really excited about this new addition to my room. It plays the music I want, lets me watch a video if I want and is a great alarm clock. Compact too.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_276?ie=UTF8&pageNumber=276&reviewerType=all_reviews"
"1551344204-8461","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","igor","Mehh","February 14, 2019","First impressions are important. This one failed the first time for me, after all the updates and downloads. It just wouldn't respond. I love the Amazon show though, so i'm just returning this one.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_437?ie=UTF8&pageNumber=437&reviewerType=all_reviews"
"1551344175-8357","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Tommy Rojas","Five Stars","May 2, 2018","I love this “spot “ it works well with the original one and my wife loves it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_424?ie=UTF8&pageNumber=424&reviewerType=all_reviews"
"1551343565-6183","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Brian Young","Echo Spot - Just about right","June 4, 2018","Really like the Echo Spot.  Took some time to get it to see other Echo device; but, works very well once I did.  Think I had wrong email address loaded.  Its a perfect size and easily goes with room décor. Would be nice if I could integrate it into the house phone line.  Suspect there is a way; but, not a high priority right now.  Needs more clock faces.  Anyway, very good addition to the Echo family.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_153?ie=UTF8&pageNumber=153&reviewerType=all_reviews"
"1551344103-8084","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Brad Willey","A+++++","December 29, 2017","Another addition to our echo family. Works seamlessly with other alexa based products. A true homerun from Amazon.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_390?ie=UTF8&pageNumber=390&reviewerType=all_reviews"
"1551343495-5948","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Mike","Very happy with my Spot","August 30, 2018","Very happy with my Spot.
There have been so many people unhappy with the rotation of information all that is needed is: This is so easy to correct. Just set to rotate cards once and that’s it. Only clock will show or you can say ‘’Turn screen off’’ and it will appear to be off until you touch it or give it a command.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_123?ie=UTF8&pageNumber=123&reviewerType=all_reviews"
"1551343620-6366","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Very handy","December 11, 2018","Great for bedside use - very convenient. I don't use the camera but having the display is handy for quick-glance stuff like weather. Mics don't seem to be as sensitive as a regular Dot, but good enough for bedside use.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_176?ie=UTF8&pageNumber=176&reviewerType=all_reviews"
"1551343567-6190","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jeesee","Not great with Blink cameras","February 12, 2019","I purchased the Echo Spot to use as a way to look at the Blink cameras I was ordering.  This is not a good use for the Echo Spot.  The picture is just OK and the Echo Spot leaves a lot to be desired for normal Echo audio quality.  It is also not a good alternative to an alarm clock - the clock face is hard to see at night and it cycles through other info making the time even harder to read and find.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_154?ie=UTF8&pageNumber=154&reviewerType=all_reviews"
"1551343994-7712","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","jantchr132","Excellent to keep tabs on your kiddos","February 2, 2019","Absolutely love this device-perfect for my kids’ rooms!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_344?ie=UTF8&pageNumber=344&reviewerType=all_reviews"
"1551343692-6619","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Vicky","I loves gadgets and would like to get them in every room in my house","July 9, 2018","Wish I could take it everywhere! I’ve got one in my office, in my bedroom and the large screen echo in my kitchen so it can show me recipes. I loves gadgets and would like to get them in every room in my house!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_207?ie=UTF8&pageNumber=207&reviewerType=all_reviews"
