web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551345179-11021","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Duds","Really good sound.","December 19, 2018","Really like it. The sound is very good. Been enjoying Christmas carols. Screen is big enough to comfortably see from a decent distance. Only thing I do not like is it doesn’t let me know that I have a notification like on the dot (light turns green). All in all I am satisfied.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&reviewerType=all_reviews"
"1551345043-10535","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","J. Harris","Echo Show and Ring - Home Automation at it's best. Perfect for elderly parents.","January 14, 2019","I bought the Echo Show two-pack at a great price because I had recently purchased Ring doorbells for our house and our parents home. We wanted to be able to see who was at the door in either location before having to go answer the door because stairs in a split-level home are becoming more of a problem as they age.

I also wanted our parents to be able to see who was at the door without having to worry about constantly carrying a phone or finding it every time the doorbell rang. The Echo Show  just sits on the table near where they sit most of the time and a simple voice command can let them see and talk to whoever is there.

Although it kinda seems like 'spying,' it also gives us peace of mind to know that when our daughter is supposed to pick up Grandpa at 1:00p for his doctor appointment, she actually shows up on time. We have video evidence of the comings and goings at our parent's home.  And if she doesn't show, guess who is getting an emergency 'get your butt over there now'  call!

I work from home, so I placed the second unit in my upstairs office so I can do the same thing... see who it is and determine whether I have to drop everything to answer the door.  If a signature is required on a package, the carrier at least knows someone is on the way down, and I don't have to go to the post office to pick up 'missed deliveries.' This alone made it worth the cost of the Show in time saved going to the post office 2-3 times a month.

As an added benefit, my father-in-law likes to follow the markets, and Alexa can intermittently and automatically show him any stocks or market conditions he's interested in.

Echo Show makes caring for elderly parents so much easier and relieves a lot of worry about 'not knowing'.  We use the DROP IN feature to check in with them occasionally.  They do the same with us if they need anything. Any of the Echo/Alexa setups can do the same thing, but sometimes there is no substitute for being able to see the other person.

And finally, as one of many other added benefits, with Alexa no question goes unanswered, and with Amazon Music there isn't a song they can remember that they can't hear again on a moment's notice.  They often wonder who an actress is on an old movie and as long as you know the name of the movie you can get a list of cast members for pretty much anything.  And last Christmas we were over there and heard coming from the other room, ""Alexa, play Burl Ives Christmas music."" (Now there's something you don't hear every day....)  But by golly, Burl Ives Christmas music came up with lyrics, and the room was filled with ""Holly Jolly Christmas"" and a lot of other great old songs I'd never heard.  It made them very happy.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews"
"1551345371-11668","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Barbi83","Love it!","January 17, 2019","Great picture and sound. Love it!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_162?ie=UTF8&pageNumber=162&reviewerType=all_reviews"
"1551345321-11525","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","C A Woodard","Great Product","January 19, 2019","I love this product.  The screen is large enough to see who you're talking with and view with ease any video, recipe or photo.  The sound is more than expected.  Good product.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_144?ie=UTF8&pageNumber=144&reviewerType=all_reviews"
"1551345079-10677","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amanda","Sound is awesome!","December 21, 2018","I love the sound so much better than the dot! We are in the process of converting our household to work with Alexa...and everything is so convenient! I have it turn off my Christmas lights, scentsys, and lamps. Also looking at the home security system to tie in with it. Alexa calls me Queen Amanda...how can I give her a bad review?? Seriously, the sound on the music is great, and I love everything you can do with it...although, we have barely scratched the surface. Really glad we made this purchase.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews"
"1551345040-10529","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Thomas Wallner","Something is missing for the price","January 10, 2019","Edit 1/11/2018. I stick with my 2-star rating but this is relative to the 10"" Fire tablet and price. The Show 2 is not bad and I get it that there are niche uses.  Unfortunately, those niches are not for me. IMHO the Show should run Android and not this experimental and buggy funny interface. Even if I liked this funny interface, it is also available on the tablet. I like an Echo Dot with a screen (=Echo Spot). Amongst others I can travel with it and easily change the WiFi. Can I travel with the Show? Possibly but ...

It does, what it does and it is not bad except that the current software has issues. I cannot play Prime movies. Sound is worse than my $50 bluetooth soundbar. Screen is just 720p. Why, please why does this thing even exist? I mean, for that price Amazon could have taken the 10"" Amazon Fire tablet hardware and pug into the speakers of the Show. And please: what is Amazon thinking? Another proprietary power plug? How about USB C?

No, the Show is not bad. It just misses the point (for me).","2.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1551345429-11877","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Janina Figini","Maravilloso","January 15, 2019","Creo que nesecito a una persona para que lo ponga a mi orden porque no me hace caso solo en música , todas mis amigas lo tienen y es fantástico , maravilloso , pero nesecito un experto en la materia","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_188?ie=UTF8&pageNumber=188&reviewerType=all_reviews"
"1551345163-10969","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Soozie","Easy Installation!  Quick to set up!","November 6, 2018","Very responsive.  I have my Echo Show in the kitchen and use it for tv when I'm cooking and also to pull up recipes from the internet.  Great display and sound.  I have added quite a few games and other fun stuff to my Alexa app and enjoying the company :)","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&pageNumber=75&reviewerType=all_reviews"
"1551345406-11793","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Kaye Costello","Better than what I expected!!!","January 5, 2019","Having the sceen view instead of the dot there is no comparison!  Amazon you Rock!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_178?ie=UTF8&pageNumber=178&reviewerType=all_reviews"
"1551345583-12382","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Michael Legaspi","Good quality low portability.","December 31, 2018","I like this item very much. I do wish it had a more portable feature with rechargeable batteries.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_251?ie=UTF8&pageNumber=251&reviewerType=all_reviews"
